焊氰楷档,备盒,巢磊(疙), 咯磊(疙), 傈眉措厚厚啦(巢磊) , 傈眉措厚厚啦(咯磊) 
2022,20技 固父,42808,51396,0.3,0.36
2022,20~24技,279223,398944,1.94,2.76
2022,25~29技,868775,831530,6.02,5.76
2022,30~34技,985656,752668,6.83,5.22
2022,35~39技,951094,631413,6.59,4.38
2022,40~44技,1041770,701287,7.22,4.86
2022,45~49技,912994,721889,6.33,5
2022,50~54技,898020,787130,6.22,5.46
2022,55~59技,696662,654621,4.83,4.54
2022,60~64技,566869,523424,3.93,3.63
2022,65~69技,341863,276269,2.37,1.91
2022,70技 捞惑,281388,231369,1.95,1.6
2023,20技 固父,41139,49032,0.28,0.33
2023,20~24技,267248,370001,1.82,2.52
2023,25~29技,853217,818707,5.82,5.58
2023,30~34技,1015014,784349,6.92,5.35
2023,35~39技,929364,633399,6.34,4.32
2023,40~44技,1056016,727376,7.2,4.96
2023,45~49技,896009,700982,6.11,4.78
2023,50~54技,910664,797976,6.21,5.44
2023,55~59技,733574,703947,5,4.8
2023,60~64技,580914,546184,3.96,3.72
2023,65~69技,376121,317327,2.56,2.16
2023,70技 捞惑,305198,256265,2.08,1.75
2024-10,20技 固父,37313,41936,0.25,0.28
2024-10,20~24技,262167,361226,1.73,2.38
2024-10,25~29技,841145,810599,5.54,5.34
2024-10,30~34技,1043344,816376,6.87,5.38
2024-10,35~39技,932441,651900,6.14,4.29
2024-10,40~44技,1037974,733515,6.84,4.83
2024-10,45~49技,902162,717172,5.94,4.72
2024-10,50~54技,917861,811353,6.05,5.34
2024-10,55~59技,770170,752369,5.07,4.96
2024-10,60~64技,607920,589108,4,3.88
2024-10,65~69技,427902,396813,2.82,2.61
2024-10,70技 捞惑,371828,348682,2.45,2.3
