"성별",2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2026.01,2026.01,2026.01,2026.01,2026.01,2026.01,2026.01,2026.01
"성별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
"계",45674,28961,27878,1083,16713,63.4,3.7,61.0,45694,29119,28179,940,16575,63.7,3.2,61.7,45708,29507,28589,918,16201,64.6,3.1,62.5,45720,29741,28887,854,15979,65.1,2.9,63.2,45734,30012,29160,853,15722,65.6,2.8,63.8,45743,29915,29091,825,15828,65.4,2.8,63.6,45758,29754,29029,726,16004,65.0,2.4,63.4,45779,29559,28967,592,16220,64.6,2.0,63.3,45797,29788,29154,635,16009,65.0,2.1,63.7,45819,29698,29040,658,16121,64.8,2.2,63.4,45848,29706,29046,661,16142,64.8,2.2,63.4,45874,29426,28209,1217,16448,64.1,4.1,61.5,45914,29197,27986,1211,16717,63.6,4.1,61.0
"남자",22528,16122,15595,526,6406,71.6,3.3,69.2,22540,16211,15699,512,6329,71.9,3.2,69.7,22548,16385,15868,516,6163,72.7,3.2,70.4,22552,16502,15995,507,6050,73.2,3.1,70.9,22559,16625,16120,505,5934,73.7,3.0,71.5,22560,16561,16072,489,5999,73.4,3.0,71.2,22567,16465,16032,433,6102,73.0,2.6,71.0,22580,16365,16023,342,6215,72.5,2.1,71.0,22590,16467,16068,400,6123,72.9,2.4,71.1,22604,16407,16005,403,6197,72.6,2.5,70.8,22625,16434,16043,391,6191,72.6,2.4,70.9,22644,16353,15799,554,6290,72.2,3.4,69.8,22675,16206,15629,577,6469,71.5,3.6,68.9
"여자",23146,12839,12283,557,10307,55.5,4.3,53.1,23154,12908,12480,428,10246,55.7,3.3,53.9,23161,13122,12721,402,10038,56.7,3.1,54.9,23168,13239,12892,347,9928,57.1,2.6,55.6,23176,13387,13040,347,9789,57.8,2.6,56.3,23183,13354,13018,336,9829,57.6,2.5,56.2,23191,13289,12997,292,9902,57.3,2.2,56.0,23199,13194,12944,250,10005,56.9,1.9,55.8,23207,13321,13086,235,9886,57.4,1.8,56.4,23215,13291,13035,256,9924,57.3,1.9,56.2,23223,13272,13002,270,9951,57.2,2.0,56.0,23231,13073,12410,663,10158,56.3,5.1,53.4,23239,12991,12358,634,10248,55.9,4.9,53.2
"농가",2193,1559,1532,27,634,71.1,1.7,69.9,2191,1570,1552,18,622,71.6,1.1,70.8,2192,1694,1682,12,498,77.3,0.7,76.7,2136,1754,1735,19,382,82.1,1.1,81.2,2137,1788,1770,17,349,83.7,1.0,82.9,2098,1769,1757,13,329,84.3,0.7,83.7,2070,1730,1718,11,340,83.6,0.7,83.0,2063,1719,1709,9,344,83.3,0.5,82.9,2073,1730,1725,5,343,83.4,0.3,83.2,2035,1698,1693,5,337,83.4,0.3,83.2,2014,1651,1644,7,364,81.9,0.4,81.6,1973,1455,1415,39,518,73.7,2.7,71.7,1914,1350,1321,28,565,70.5,2.1,69.0
"농가남자",1136,911,902,9,225,80.2,1.0,79.4,1139,922,913,9,217,80.9,1.0,80.1,1131,970,962,8,161,85.8,0.8,85.1,1100,982,967,15,117,89.3,1.6,87.9,1108,992,979,13,115,89.6,1.3,88.4,1086,982,973,9,104,90.4,0.9,89.6,1075,968,959,9,107,90.1,0.9,89.2,1072,960,953,8,112,89.5,0.8,88.8,1080,966,961,5,114,89.5,0.5,89.0,1053,943,939,3,111,89.5,0.3,89.2,1047,929,927,3,118,88.7,0.3,88.5,1025,854,846,8,171,83.3,0.9,82.6,994,804,798,7,190,80.9,0.8,80.2
"농가여자",1057,647,630,17,410,61.2,2.7,59.6,1052,648,639,8,405,61.5,1.3,60.8,1061,724,720,4,337,68.2,0.5,67.9,1036,772,768,4,265,74.5,0.5,74.1,1029,796,791,4,234,77.3,0.6,76.9,1012,787,783,4,225,77.8,0.5,77.4,995,761,759,2,233,76.6,0.3,76.3,990,759,757,2,232,76.6,0.2,76.4,994,764,764,0,230,76.9,0.0,76.9,982,756,754,2,226,77.0,0.2,76.8,967,721,717,4,246,74.6,0.6,74.1,948,601,570,31,347,63.4,5.2,60.1,920,545,524,21,375,59.3,3.9,56.9
"비농가",43481,27402,26346,1056,16079,63.0,3.9,60.6,43503,27549,26627,922,15954,63.3,3.3,61.2,43516,27813,26907,906,15703,63.9,3.3,61.8,43584,27988,27152,835,15597,64.2,3.0,62.3,43598,28225,27390,835,15373,64.7,3.0,62.8,43645,28146,27334,812,15499,64.5,2.9,62.6,43688,28025,27310,714,15664,64.1,2.5,62.5,43716,27840,27258,583,15876,63.7,2.1,62.4,43724,28058,27429,629,15666,64.2,2.2,62.7,43784,28000,27347,654,15784,64.0,2.3,62.5,43834,28056,27402,654,15778,64.0,2.3,62.5,43901,27971,26794,1178,15930,63.7,4.2,61.0,44000,27847,26665,1182,16153,63.3,4.2,60.6
"비농가남자",21392,15210,14693,517,6182,71.1,3.4,68.7,21401,15289,14787,502,6112,71.4,3.3,69.1,21417,15415,14906,509,6002,72.0,3.3,69.6,21452,15520,15028,492,5933,72.3,3.2,70.1,21451,15633,15141,492,5818,72.9,3.1,70.6,21474,15579,15099,481,5894,72.6,3.1,70.3,21492,15497,15072,424,5995,72.1,2.7,70.1,21508,15405,15071,334,6103,71.6,2.2,70.1,21510,15501,15107,394,6009,72.1,2.5,70.2,21551,15465,15065,400,6086,71.8,2.6,69.9,21578,15505,15117,388,6074,71.9,2.5,70.1,21619,15500,14953,546,6119,71.7,3.5,69.2,21681,15402,14831,570,6280,71.0,3.7,68.4
