"연령계층별",2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2026.01,2026.01,2026.01,2026.01,2026.01,2026.01,2026.01,2026.01
"연령계층별",인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
"15세 이상 전체",45674,28961,27878,1083,16713,63.4,3.7,61.0,45694,29119,28179,940,16575,63.7,3.2,61.7,45708,29507,28589,918,16201,64.6,3.1,62.5,45720,29741,28887,854,15979,65.1,2.9,63.2,45734,30012,29160,853,15722,65.6,2.8,63.8,45743,29915,29091,825,15828,65.4,2.8,63.6,45758,29754,29029,726,16004,65.0,2.4,63.4,45779,29559,28967,592,16220,64.6,2.0,63.3,45797,29788,29154,635,16009,65.0,2.1,63.7,45819,29698,29040,658,16121,64.8,2.2,63.4,45848,29706,29046,661,16142,64.8,2.2,63.4,45874,29426,28209,1217,16448,64.1,4.1,61.5,45914,29197,27986,1211,16717,63.6,4.1,61.0
"15 - 29세",8051,3840,3609,230,4212,47.7,6.0,44.8,8035,3826,3557,269,4209,47.6,7.0,44.3,8016,3859,3569,289,4157,48.1,7.5,44.5,7994,3902,3618,283,4092,48.8,7.3,45.3,7974,3943,3682,262,4030,49.5,6.6,46.2,7949,3862,3625,237,4088,48.6,6.1,45.6,7933,3843,3633,210,4090,48.4,5.5,45.8,7920,3755,3571,184,4165,47.4,4.9,45.1,7906,3743,3564,179,4163,47.3,4.8,45.1,7894,3720,3521,199,4174,47.1,5.3,44.6,7888,3692,3491,201,4196,46.8,5.5,44.3,7880,3719,3490,229,4160,47.2,6.2,44.3,7886,3685,3434,251,4201,46.7,6.8,43.6
"15 - 19세",2231,144,136,8,2087,6.5,5.5,6.1,2232,141,133,8,2091,6.3,5.9,5.9,2232,141,130,11,2091,6.3,7.7,5.8,2232,152,143,9,2080,6.8,5.9,6.4,2233,146,140,6,2087,6.5,3.8,6.3,2233,148,135,13,2085,6.6,9.0,6.0,2237,145,139,6,2091,6.5,4.2,6.2,2241,141,137,4,2100,6.3,3.1,6.1,2245,132,129,3,2113,5.9,2.0,5.8,2250,132,126,6,2118,5.9,4.7,5.6,2255,142,135,7,2113,6.3,4.9,6.0,2260,156,146,10,2103,6.9,6.3,6.5,2267,177,160,16,2090,7.8,9.3,7.1
"20 - 29세",5821,3695,3473,222,2125,63.5,6.0,59.7,5804,3685,3425,261,2118,63.5,7.1,59.0,5784,3718,3440,279,2066,64.3,7.5,59.5,5761,3750,3475,274,2012,65.1,7.3,60.3,5741,3798,3542,256,1943,66.1,6.7,61.7,5717,3714,3490,223,2003,65.0,6.0,61.0,5696,3698,3494,204,1998,64.9,5.5,61.3,5679,3614,3434,180,2065,63.6,5.0,60.5,5661,3611,3435,176,2050,63.8,4.9,60.7,5645,3588,3396,193,2056,63.6,5.4,60.2,5633,3551,3356,195,2083,63.0,5.5,59.6,5620,3563,3344,220,2057,63.4,6.2,59.5,5619,3508,3274,234,2111,62.4,6.7,58.3
"30 - 39세",6832,5613,5467,146,1219,82.2,2.6,80.0,6840,5645,5488,157,1195,82.5,2.8,80.2,6847,5669,5505,165,1177,82.8,2.9,80.4,6853,5698,5537,161,1155,83.1,2.8,80.8,6861,5719,5573,146,1141,83.4,2.6,81.2,6867,5726,5563,163,1141,83.4,2.8,81.0,6873,5710,5566,144,1163,83.1,2.5,81.0,6880,5698,5557,141,1182,82.8,2.5,80.8,6887,5756,5606,150,1131,83.6,2.6,81.4,6894,5723,5569,154,1171,83.0,2.7,80.8,6902,5745,5581,164,1157,83.2,2.9,80.9,6910,5752,5578,174,1157,83.2,3.0,80.7,6916,5739,5568,170,1178,83.0,3.0,80.5
"40 - 49세",7731,6221,6094,127,1510,80.5,2.0,78.8,7720,6221,6080,141,1499,80.6,2.3,78.8,7707,6260,6120,140,1448,81.2,2.2,79.4,7695,6285,6152,132,1411,81.7,2.1,79.9,7683,6304,6162,142,1379,82.1,2.3,80.2,7670,6276,6151,125,1394,81.8,2.0,80.2,7661,6252,6130,122,1409,81.6,2.0,80.0,7652,6217,6114,103,1435,81.2,1.7,79.9,7644,6254,6145,109,1389,81.8,1.7,80.4,7635,6242,6138,104,1393,81.8,1.7,80.4,7627,6266,6154,112,1361,82.2,1.8,80.7,7619,6228,6108,120,1391,81.7,1.9,80.2,7612,6201,6091,110,1411,81.5,1.8,80.0
"50 - 59세",8643,6732,6613,119,1911,77.9,1.8,76.5,8640,6774,6643,132,1866,78.4,1.9,76.9,8637,6808,6663,145,1830,78.8,2.1,77.1,8634,6817,6674,143,1817,79.0,2.1,77.3,8630,6839,6695,145,1791,79.2,2.1,77.6,8627,6850,6710,141,1777,79.4,2.1,77.8,8621,6818,6692,126,1803,79.1,1.8,77.6,8615,6768,6675,94,1847,78.6,1.4,77.5,8609,6817,6709,108,1792,79.2,1.6,77.9,8603,6805,6703,103,1798,79.1,1.5,77.9,8598,6805,6709,96,1793,79.1,1.4,78.0,8592,6778,6667,111,1814,78.9,1.6,77.6,8586,6776,6658,118,1810,78.9,1.7,77.5
"60세이상",14416,6555,6094,461,7861,45.5,7.0,42.3,14459,6652,6411,242,7807,46.0,3.6,44.3,14502,6912,6732,180,7590,47.7,2.6,46.4,14544,7040,6906,135,7504,48.4,1.9,47.5,14587,7206,7049,157,7381,49.4,2.2,48.3,14629,7202,7042,160,7427,49.2,2.2,48.1,14670,7131,7008,123,7539,48.6,1.7,47.8,14711,7120,7051,69,7591,48.4,1.0,47.9,14752,7218,7129,89,7534,48.9,1.2,48.3,14792,7208,7110,99,7584,48.7,1.4,48.1,14833,7198,7111,88,7635,48.5,1.2,47.9,14874,6949,6367,582,7925,46.7,8.4,42.8,14914,6797,6236,561,8118,45.6,8.3,41.8
